id,id_presupuesto,descripcion,monto,cantidad
20,19,DESABOLLADO DE CAPOT,125000.00,1
21,19,PINTURA DE CAPOT,115000.00,1
22,19,REPARACIÓN DE FOCO DELANTERO DERECHO,40000.00,1
23,19,INSUMOS,35000.00,1
24,684,CAMBIO DE DAMPER DE MOTOR,579490.00,1
25,685,CAMBIO KIT DE DISTRIBUCION,125000.00,1
26,685,CAMBIO KIT DE EMBRAGUE,180000.00,1
27,686,ACEITE Y FILTRO,30800.00,1
28,686,PASTILLAS DELANTERAS,29990.00,1
29,686,PASTILLAS TRASERAS,29990.00,1
30,686,CORREA DE ACCESORIOS,18750.00,1
31,686,REFRIGERANTE,10000.00,1
32,686,CAMBIO DE ACEITE Y FILTRO,16200.00,1
33,686,CAMBIO DE PASTILLAS DELANTERAS,18500.00,1
34,686,CAMBIO DE PASTILLAS TRASERAS,18500.00,1
35,686,CAMBIO DE CORRA DE ACCESORIOS,45000.00,1
36,686,CAMBIO DE REFRIGERANTE,25000.00,1
37,687,"ACEITE Y FILTRO ",40000.00,1
38,687,"CAMBIO DE ACEITE ",15000.00,1
39,687,FILTRO DE PETROLEO,8500.00,1
40,687,CAMBIO DE FILTRO DE PETRÓLEO,15000.00,1
41,687,"FILTRO DE AIRE ",7500.00,1
42,688,ELIMINACION ELECTRONICA DE FILTRO DE PARTICULAS DPF				,230000.00,1
43,688,ELIMINACION FISICA DE FILTRO DE PARTICULAS DPF				,95000.00,1
44,688,SOLDAJE DE FILTRO CON SOLDADURA DE OXIGENO				,55000.00,1
45,689,KIT DE MANTENCIÓN DE CAJA,65000.00,1
46,689,ACEITE DE CAJA,117540.00,1
47,689,MANO DE OBRA,130000.00,1
48,689,INSUMOS,20000.00,1
49,690,KIT DE EMBRAGUE,98890.00,1
50,690,ACEITE DE CAJA (3LT),38670.00,1
51,690,MANO DE OBRA,140000.00,1
52,691,FOCO TRASERO IZQUIERDO,45000.00,1
53,691,CAMBIO DE FOCO TRASERO IZQUIERDO,35000.00,1
54,691,INSUMOS,5500.00,1
55,692,KIT DE EMBRAGUE MARCA SACHS,206990.00,1
56,692,ACEITE 80W90 VALVOLINE (3LT),43600.00,1
57,692,MANO DE OBRA CAMBIO KIT DE EMBRAGUE,220000.00,1
58,693,CORREA DE ACCESORIOS,22890.00,1
59,693,"ACEITE DE MOTOR (6,5LT)",55000.00,1
60,693,REFRIGERANTE (2 BIDONES),37000.00,1
61,693,RETEN DE COLA (CAMBIO APROVECHANDO QUE SE SACA CAJA),12000.00,1
62,693,SENSOR CKP,28000.00,1
63,693,MANTENCION MOTOR DE ARRANQUE,45000.00,1
64,693,ACEITE DE CAJA (PARA LA CAJA DE TRANSFERENCIAS 3LT),32225.00,1
65,693,MANO DE OBRA REPARACION DE CULATA COMPLETA (INCLUYE CAMBIO DE TODOS LOS RESPUESTOS),450000.00,1
66,693,MANO DE OBRA CAMBIO DE KIT DE EMBRAGUE Y VOLANTE BIMASA,295000.00,1
67,694,ACEITE Y FILTRO DE MOTOR,67890.00,1
68,694,FILTRO DE AIRE,32450.00,1
69,694,FILTRO DE POLEN,19990.00,1
70,694,KIT DE MANTENCION DE CAJA,330000.00,1
71,694,MANO DE OBRA MANTENCION DE CAJA,150000.00,1
72,694,MANO DE OBRA MANTENCION DE MOTOR,55000.00,1
79,696,DIAGNÓSTICO CHECK ENCENDIDO,45000.00,
83,697,AMORTIGUADORES DELANTEROS,97980.00,
84,697,CAZOLETAS DELANTERAS,59980.00,
85,697,CINTURÓN LADO CHOFER,99990.00,
86,697,BANDEJA DELANTERA DERECHA,82500.00,
87,697,BANDEJA DELANTERA IZQUIERDA,82500.00,
88,697,CAMBIO DE AMORTIGUADORES Y CAZOLETAS,100000.00,
89,697,CAMBIO DE CINTURON,45000.00,
90,697,CAMBIO DE BANDEJAS DELANTERAS,80000.00,
94,695,CORREA DE ACCESORIOS NUEVA,22891.00,1
95,695,POLEA GUIA DE CORREA DE ACCESORIOS,19990.00,1
96,695,CAMBIO DE CORREA Y GUIA DE ACCEOSORIOS,45000.00,1
97,698,RADIADOR MUEVO,98950.00,1
98,698,REFRIGERANTE,18500.00,2
99,698,CAMBIO DE RADIADOR,75000.00,1
100,699,KIT DE EMBRAGUE PARTNER,104990.00,1
101,699,ACEITE DE CAJA 80W90,12890.00,3
102,699,MANO DE OBRA CAMBIO KIT DE EMBRAGUE,180000.00,1
103,699,DIAGNÓSTICO PALANCA DE CAMBIOS SUELTA,40000.00,1
104,700,KIT DE EMBRAGUE,85000.00,1
105,700,ACEITE DE CAJA 80W90,12890.00,3
106,700,MANO DE OBRA CAMBIO KIT DE EMBRAGUE,140000.00,1
107,701,KIT DE EMBRAGUE,135890.00,1
108,701,ACEITE DE CAJA,12890.00,3
109,701,MANO DE OBRA,140000.00,1